symbol,return,max_dd,trades,winrate
ANKR/USDT:USDT,0.005680822555976128,-0.018583872450670835,378,0.47883597883597884
BTC/USDT:USDT,0.005639864568744546,-0.006962551016843066,544,0.5
COMP/USDT:USDT,0.004261043907971551,-0.12040690177423208,489,0.5071574642126789
DUSK/USDT:USDT,0.0021335735551109014,-0.03926364405724081,491,0.46028513238289204
XLM/USDT:USDT,0.0013491366666111837,-0.025929235999389344,395,0.5265822784810127
ENJ/USDT:USDT,0.0006093327809761906,-0.016077463777236067,519,0.3988439306358382
BTCDOM/USDT:USDT,-0.0007854756401549645,-0.009831380775808363,528,0.4734848484848485
ADA/USDT:USDT,-0.0009865215363709101,-0.014214317665097842,410,0.44146341463414634
APE/USDT:USDT,-0.0016944490426480385,-0.03676080354644895,508,0.4547244094488189
1000SHIB/USDT:USDT,-0.0025817030436250388,-0.015676561349632023,367,0.4250681198910082
DOGE/USDT:USDT,-0.0037278168816579083,-0.026242001338756094,388,0.48195876288659795
LINK/USDT:USDT,-0.004139545759326513,-0.04268817848591855,526,0.48859315589353614
RSR/USDT:USDT,-0.006440142817584316,-0.04718292120942258,413,0.4406779661016949
TRX/USDT:USDT,-0.006708142721410737,-0.012988364467207969,382,0.3900523560209424
SOL/USDT:USDT,-0.0071253111180761275,-0.020440261270507132,478,0.4602510460251046
BNB/USDT:USDT,-0.012943803455566005,-0.021032146708521382,502,0.5119521912350598
BCH/USDT:USDT,-0.01828860929019338,-0.04398561691195069,502,0.5239043824701195
ZEN/USDT:USDT,-0.024401834102885545,-0.07013578172616974,493,0.4847870182555781
HBAR/USDT:USDT,-0.033267933446472275,-0.0606500918548849,427,0.4566744730679157
DASH/USDT:USDT,-0.04772588278228629,-0.08961669024978114,511,0.45792563600782776
ZEC/USDT:USDT,-0.16043277182088,-0.1768916402676851,532,0.45864661654135336
