symbol,return,max_dd,trades,winrate
MANA/USDT:USDT,0.07184401123590578,-0.012248925875503636,542,0.4077490774907749
BAT/USDT:USDT,0.07028478786199321,-0.025878857815394896,465,0.4946236559139785
STORJ/USDT:USDT,0.06379004387334031,-0.024134586965458782,410,0.4170731707317073
IOTX/USDT:USDT,0.06207765914648711,-0.015789659810859336,469,0.31343283582089554
YFI/USDT:USDT,0.054343667328615064,-0.012173193770101176,505,0.4613861386138614
LPT/USDT:USDT,0.05353717205671393,-0.015202623887133448,487,0.5051334702258727
SUSHI/USDT:USDT,0.05343111073372242,-0.015596305622689544,486,0.4835390946502058
SFP/USDT:USDT,0.052852792855813346,-0.0225835657740312,482,0.46887966804979253
IOST/USDT:USDT,0.05018496168475717,-0.012247482983096525,416,0.4182692307692308
ATOM/USDT:USDT,0.04812655772088226,-0.012864325130635734,545,0.43853211009174314
THETA/USDT:USDT,0.04806390619579859,-0.024364108969980203,429,0.47086247086247085
ALGO/USDT:USDT,0.04680244078053275,-0.010612876824922624,387,0.3850129198966408
GMT/USDT:USDT,0.04459739685491515,-0.013322912222136218,400,0.4
KSM/USDT:USDT,0.0434284014762103,-0.0144165652577799,494,0.5
AVAX/USDT:USDT,0.04042131100757995,-0.02301291072639544,508,0.5078740157480315
1INCH/USDT:USDT,0.036231811768321354,-0.0287828732978197,454,0.4713656387665198
ETC/USDT:USDT,0.03520959879958663,-0.013649926164010062,506,0.5098814229249012
XMR/USDT:USDT,0.034064493867080436,-0.021460184734190757,486,0.5308641975308642
MASK/USDT:USDT,0.033784310286343544,-0.017601679492732614,505,0.4871287128712871
LTC/USDT:USDT,0.030100271076276996,-0.012068651131762698,514,0.4980544747081712
EGLD/USDT:USDT,0.028312622327858028,-0.03238272516028862,509,0.46954813359528486
TRB/USDT:USDT,0.027589016825382284,-0.018583851789372163,513,0.5029239766081871
ETH/USDT:USDT,0.026423945007867156,-0.01024235075330493,523,0.5315487571701721
NEO/USDT:USDT,0.025374359714798622,-0.024992624415919207,502,0.4103585657370518
RLC/USDT:USDT,0.023973558647902626,-0.01603523135923335,494,0.49190283400809715
UNI/USDT:USDT,0.022780453600422357,-0.02710572852199533,519,0.4701348747591522
IMX/USDT:USDT,0.02191366591574906,-0.027077717937626034,496,0.4435483870967742
